source	id	Lat	Lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	2022 Root length (cm)	2022 Upper root width (mm)	2022 Middle root width(mm)	2022 Weight per root  (g)	2022 Root yields (kg/mu)	2022 Calycosin-7-glucoside (C7G) content (%)	2022 Astragaloside IV (AIV) content (%)	2022 Astragalus polysaccharides (APS) content (%)	2023 Root length (cm)	2023 Upper root width (mm)	2023 Middle root width(mm)	2023 Weight per root  (g)	2023 Root yields (kg/mu)	2023 Calycosin-7-glucoside (C7G) content (%)	2023 Astragaloside IV (AIV) content (%)	2023 Astragalus polysaccharides (APS) content (%)
10	2-10	35.57	106.03	6.04583358764648	10.5583333969116	30.1666660308838	890.899597167969	22.8999996185303	-12.10000038	35	15.5500001907349	-5.300000191	16.7333335876465	-5.300000191	505	100	3	82.6719131469727	276	13	252	13	34.48	5.51	4.35	2.915	139.200696	0.029082167	0.184947004	8.35	49.80	7.97	6.74	5.915	193.3343	0.052619768	0.628062737	4.75
10	3-10	35.57	106.03	6.04583358764648	10.5583333969116	30.1666660308838	890.899597167969	22.8999996185303	-12.10000038	35	15.5500001907349	-5.300000191	16.7333335876465	-5.300000191	505	100	3	82.6719131469727	276	13	252	13	32.34	5.52	4.49	3.155	152.00076	0.029311043	0.229142374	7.88	49.33	6.97	5.76	5.655	160.0008	0.042496446	0.641023228	5.27
11	1-11	36	106.29	7.3125	11.4583330154419	30.5555572509766	941.604370117188	25.2999992370605	-12.19999981	37.5	17.1499996185303	-4.766666412	18.5499992370605	-4.766666412	449	92	3	85.1074600219727	252	11	229	11	28.96	5.94	4.87	3.195	129.600798	0.040423002	0.202263861	10.07	44.05	7.8755	6.476	6.195	180.0009	0.110489885	0.473036854	5.62
11	2-11	36	106.29	7.3125	11.4583330154419	30.5555572509766	941.604370117188	25.2999992370605	-12.19999981	37.5	17.1499996185303	-4.766666412	18.5499992370605	-4.766666412	449	92	3	85.1074600219727	252	11	229	11	44.74	5.58	4.12	3.92	189.400797	0.054743048	0.174374147	10.8	55.76	8.14	6.65	6.62	220.0011	0.065175506	0.373000712	4.75
11	3-11	36	106.29	7.3125	11.4583330154419	30.5555572509766	941.604370117188	25.2999992370605	-12.19999981	37.5	17.1499996185303	-4.766666412	18.5499992370605	-4.766666412	449	92	3	85.1074600219727	252	11	229	11	34.84	5.67	4.55	3.39	161.800809	0.026877322	0.172817795	9.78	55.12	8.64	7.47	6.99	260.0013	0.069836219	0.240633954	5.17
12	1-12	37.49	105.69	9.5625	13.4416666030884	31.2596893310547	1069.39050292969	29.5	-13.5	43	20.5	-4.416666508	22	-4.416666508	218	59	0	97.6042251586914	134	2	125	2	30.17	7.44	5.32	4.775	175.200876	0.040171238	0.192408918	9.71	41.46	7.3225	6.032	6.775	233.3345	0.071216451	0.699947383	5.76
12	2-12	37.49	105.69	9.5625	13.4416666030884	31.2596893310547	1069.39050292969	29.5	-13.5	43	20.5	-4.416666508	22	-4.416666508	218	59	0	97.6042251586914	134	2	125	2	29.70	7.38	5.75	3.515	126.400632	0.041796262	0.184386927	9.73	49.12	7.28	6.09	6.365	213.3344	0.066045441	0.512028226	5.7
12	3-12	37.49	105.69	9.5625	13.4416666030884	31.2596893310547	1069.39050292969	29.5	-13.5	43	20.5	-4.416666508	22	-4.416666508	218	59	0	97.6042251586914	134	2	125	2	30.15	3.63	2.89	3.12	127.6806384	0.029898493	0.181884114	9.02	50.63	6.61	6.61	5.62	206.6677	0.049392746	0.525461397	5.35
13	1-13	38.43	100.81	2.88750004768372	14.841667175293	35.0866813659668	997.442443847656	22.1000003814697	-20.20000076	42.3000030517578	14.4499998092651	-9.966667175	14.4499998092651	-9.966667175	338	77	2	101.358779907227	210	6	210	6	32.45	4.39	3.48	3.175	161.600808	0.035193172	0.224106599	8.41	43.735	8.2805	7.1035	6.675	188.00094	0.032827532	0.399060288	6.06
13	2-13	38.43	100.81	2.88750004768372	14.841667175293	35.0866813659668	997.442443847656	22.1000003814697	-20.20000076	42.3000030517578	14.4499998092651	-9.966667175	14.4499998092651	-9.966667175	338	77	2	101.358779907227	210	6	210	6	25.50	4.36	3.49	2.52	126.200631	0.038572916	0.246842611	9.23	46.27	8.44	7.09	7.27	204.00102	0.045111111	0.278107838	5.6
13	3-13	38.43	100.81	2.88750004768372	14.841667175293	35.0866813659668	997.442443847656	22.1000003814697	-20.20000076	42.3000030517578	14.4499998092651	-9.966667175	14.4499998092651	-9.966667175	338	77	2	101.358779907227	210	6	210	6	31.27	4.78	3.88	3.315	164.600823	0.032164372	0.190981248	9.32	51.83	8.87	7.65	7.815	244.00122	0.033962335	0.332263666	5.59
14	1-14	34.54	104.03	5.01666641235352	11.5999994277954	32.7683601379395	831.838928222656	21	-14.39999962	35.4000015258789	13.783332824707	-5.933333397	14.6999998092651	-5.933333397	590	108	1	84.2363815307617	308	8	294	8	29.66	5.97	4.85	5.795	213.601068	0.035887431	0.234568566	8.91	45.435	8.425	7.229	7.295	270.00135	0.028917684	0.541400382	4.49
